,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
39,6.483,6.2517,6.1443,6.1214,6.1937,6.3759,6.7184,7.2169,7.7641,7.7251,7.6551,7.5271,7.3277,7.6922,7.9279,8.0401,8.0711,7.8477,7.8069,7.6376,7.4171,7.1754,6.9775,7.1099
40,6.7839,6.5781,6.4636,6.423,6.4724,6.6292,6.9524,7.4785,8.2304,8.4749,8.468,8.3194,7.9368,8.1204,8.1843,8.1967,8.3318,8.243,8.1711,7.9904,7.7062,7.4086,7.2141,7.3401
41,7.0296,6.8105,6.6863,6.6225,6.6531,6.7971,7.1027,7.6138,8.3075,8.4067,8.3115,8.104,7.6674,7.8298,7.8735,7.9016,8.0963,8.0657,8.0397,7.8547,7.5881,7.3163,7.1154,7.2467
42,6.9599,6.7147,6.5688,6.5186,6.5418,6.6694,6.9755,7.4313,7.9299,7.8485,7.6927,7.3697,6.8885,7.0351,7.0669,7.1341,7.3536,7.3419,7.3597,7.209,7.0576,6.8626,6.704,6.8051
43,6.4603,6.1684,6.0086,5.9282,5.9339,5.9912,6.1115,6.2221,6.2885,6.1071,5.9834,5.723,5.4138,5.4314,5.4587,5.5594,5.7965,5.9629,6.2175,6.2348,6.1819,6.1294,6.1155,6.2338
44,5.9218,5.6554,5.5084,5.4462,5.4774,5.5641,5.6301,5.6216,5.4517,5.1788,5.1184,4.9393,4.7952,4.7683,4.8085,4.9848,5.2999,5.645,5.9722,6.014,5.97,5.9349,5.9061,5.8657
45,5.5491,5.337,5.2246,5.2224,5.3152,5.5331,5.9173,6.4343,6.9671,6.9839,6.8604,6.5762,6.2052,6.4417,6.5237,6.6359,6.858,6.8917,7.0422,6.9912,6.8619,6.6928,6.5333,6.5823
46,6.2279,6.0239,5.9009,5.8862,5.9677,6.1585,6.5077,6.952,7.3896,7.3183,7.2224,6.9517,6.5514,6.7653,6.9005,7.0285,7.2469,7.2801,7.3859,7.2809,7.112,6.9166,6.741,6.782
47,6.4104,6.1757,6.037,6.0063,6.0648,6.2277,6.5418,6.9784,7.5639,7.6281,7.5195,7.2237,6.7903,6.9507,6.9779,7.0333,7.2194,7.1425,7.2187,7.1308,6.9947,6.8093,6.6432,6.7029
48,6.3313,6.1008,5.9799,5.9395,6.0188,6.1774,6.4819,6.9243,7.5613,7.7597,7.7701,7.6812,7.4059,7.6595,7.6848,7.6491,7.6722,7.4595,7.3506,7.1909,7.0123,6.7968,6.6321,6.7582
49,6.4166,6.1574,6.012,5.9545,5.993,6.1692,6.4723,6.8868,7.3253,7.2151,7.059,6.7172,6.2918,6.4469,6.5392,6.661,6.8859,6.8221,6.8701,6.7991,6.694,6.5648,6.418,6.5472
50,6.181,5.9253,5.7746,5.7207,5.7526,5.8402,5.964,6.0309,6.0494,5.8726,5.8264,5.6043,5.3135,5.305,5.3218,5.4392,5.646,5.8263,6.0795,6.1158,6.0567,6.0114,5.9849,6.0933
